Task ID,Created At,Completed At,Last Modified,Name,Section/Column,Assignee,Assignee Email,Start Date,Due Date,Tags,Notes,Projects,Parent task,Blocked By (Dependencies),Blocking (Dependencies)
"1214602320921228",2026-05-07,,2026-05-07,Anfrage Formular optimert,Zuletzt zugewiesen,lars.macario@gmail.com,lars.macario@gmail.com,,,,"Bei Katzenanfragen bitte als Pflichtfeld Stadt ergänzen da wir die ausschlißlich in gewohnter Umgebung betreuuen.
Nochbesser wäre hier bereits ein vermerk sobald jemand Katze oder Kater, Kitten,... als tier wählt oder angiebt die genaue Adresse als Pflichtfeld angegeben werden muss dann können wir direkt abwegen, ob es relevant ist oder nicht. (wenn es zu weit entfernt ist, evtl direkt auf tigube verweisen.

",,,,
"1214476398310284",2026-05-04,,2026-05-04,Lead als verloren markiert,Zuletzt zugewiesen,lars.macario@gmail.com,lars.macario@gmail.com,,,,"wenn ich einen lead als verloren markiere, ist der irgendwo noch auffindbar? Falls die Person uns doch mal wieder kontaktieren würde, dass ich es nachlesen kann?",,,,
"1214476398310279",2026-05-04,2026-05-12,2026-05-12,Stimmt das?,Zuletzt zugewiesen,lars.macario@gmail.com,lars.macario@gmail.com,,,,,,,,
"1214455629940790",2026-05-02,2026-05-03,2026-05-03,https://www.tigube.de/agb,Zuletzt zugewiesen,lars.macario@gmail.com,lars.macario@gmail.com,,2026-04-29,,"https://www.tigube.de/agb

",,AGB anpassen,,
"1214455629940792",2026-05-02,2026-05-03,2026-05-03,https://www.tigube.de/kontakt,Zuletzt zugewiesen,lars.macario@gmail.com,lars.macario@gmail.com,,2026-04-29,,"https://www.tigube.de/kontakt

",,AGB anpassen,,
"1214455629940793",2026-05-02,2026-05-03,2026-05-03,https://www.tierischgutbetreut.de/datenschutz,Zuletzt zugewiesen,lars.macario@gmail.com,lars.macario@gmail.com,,2026-04-29,,https://www.tierischgutbetreut.de/datenschutz,,AGB anpassen,,
"1214455629940794",2026-05-02,2026-05-03,2026-05-03,https://www.tierischgutbetreut.de/agb,Zuletzt zugewiesen,lars.macario@gmail.com,lars.macario@gmail.com,,2026-04-29,,https://www.tierischgutbetreut.de/agb,,AGB anpassen,,
"1214227083175430",2026-04-23,,2026-04-30,"Anbieter Fortbildungsmöglichkeiten, Händler",Zuletzt zugewiesen,lars.macario@gmail.com,lars.macario@gmail.com,,,,"Profil für Anbieter für Weiterbildungsinstitutionen, 
Die Werbung schalten können im Marktplatz vorerst, später im eigenen Bereich ausschließlich für Fortbildungsmöglichkeiten, Hundeboxen spezialanfertigungen, Maulkorb spezialanfertigungen
 ",,,,
"1214227119114815",2026-04-23,,2026-04-30,Urlaubszeiten und Telefonzeiten/Bürozeiten optional anzeigbar machen,Zuletzt zugewiesen,lars.macario@gmail.com,lars.macario@gmail.com,,,,,,,,
"1214227119114819",2026-04-23,,2026-04-30,Warteliste möglich?,Zuletzt zugewiesen,lars.macario@gmail.com,lars.macario@gmail.com,,,,"Falls es möglich ist eine Option einzubauen bei den Pro betreuern, mit einer Warteliste (vor allem wenn wir später mit dem Buchungstool arbeiten) das sich Neukunden auf eine Warteliste setzen lassen können und der Betreuer ggf. die Warteliste abarbeiten kann",,,,
